mediaID,publicURL,scientificName,observationCount,speciesCount
9189635ca915cb3507c37f0b4c529846,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-30_prologis_02/DCIM/100MEDIA/SYFW0158.JPG,Canis familiaris,1,1
9189635ca915cb3507c37f0b4c529846,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-30_prologis_02/DCIM/100MEDIA/SYFW0158.JPG,,2,1
9a6f3bbe7d62565c2ce5b632c0dfad55,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-30_prologis_02/DCIM/100MEDIA/SYFW0160.JPG,Canis familiaris,1,1
9a6f3bbe7d62565c2ce5b632c0dfad55,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-30_prologis_02/DCIM/100MEDIA/SYFW0160.JPG,,2,1
ae560a001909c62e2993a1d2aa09c182,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-30_prologis_02/DCIM/100MEDIA/SYFW0170.JPG,Canis familiaris,1,1
ae560a001909c62e2993a1d2aa09c182,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-30_prologis_02/DCIM/100MEDIA/SYFW0170.JPG,Canis,1,1
ae560a001909c62e2993a1d2aa09c182,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-30_prologis_02/DCIM/100MEDIA/SYFW0170.JPG,,2,1
147f7b1eee7de62e93e1ddc8a9a049ae,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-30_prologis_02/DCIM/100MEDIA/SYFW0182.JPG,,1,1
147f7b1eee7de62e93e1ddc8a9a049ae,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-30_prologis_02/DCIM/100MEDIA/SYFW0182.JPG,,1,1
147f7b1eee7de62e93e1ddc8a9a049ae,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-30_prologis_02/DCIM/100MEDIA/SYFW0182.JPG,Anas platyrhynchos,1,1
5e7e4ebe0b818ef91e3cd36d9a08515d,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-30_prologis_02/DCIM/100MEDIA/SYFW0184.JPG,Branta canadensis,2,1
0f437f1e004495f2dac2e5616d34ebb3,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-30_prologis_02/DCIM/100MEDIA/SYFW0192.JPG,Canis familiaris,1,1
0f437f1e004495f2dac2e5616d34ebb3,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-30_prologis_02/DCIM/100MEDIA/SYFW0192.JPG,Canis,1,1
0f437f1e004495f2dac2e5616d34ebb3,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-30_prologis_02/DCIM/100MEDIA/SYFW0192.JPG,,2,1
6cb003e85ce3f99b0f7f94865d9f3233,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-30_prologis_02/DCIM/100MEDIA/SYFW0206.JPG,Canis familiaris,1,2
6cb003e85ce3f99b0f7f94865d9f3233,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-30_prologis_02/DCIM/100MEDIA/SYFW0206.JPG,Canis,1,1
6cb003e85ce3f99b0f7f94865d9f3233,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-30_prologis_02/DCIM/100MEDIA/SYFW0206.JPG,,2,1
76411066eaead00048813afc94bbdf1d,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0071.JPG,Canis familiaris,1,1
76411066eaead00048813afc94bbdf1d,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0071.JPG,,1,1
de6ba766f62c7130b0d01f8b0ef26e79,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0073.JPG,Canis familiaris,1,1
de6ba766f62c7130b0d01f8b0ef26e79,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0073.JPG,,1,1
c8bc6b3e4f8859a06ae30bf269682a27,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0075.JPG,Canis familiaris,1,1
c8bc6b3e4f8859a06ae30bf269682a27,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0075.JPG,,1,1
5aaa2811d63e67432dc693b59468f65b,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0077.JPG,Canis familiaris,1,1
5aaa2811d63e67432dc693b59468f65b,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0077.JPG,,1,1
e5258a067d41e5cb16fcd368501d99a5,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0079.JPG,Canis familiaris,1,1
e5258a067d41e5cb16fcd368501d99a5,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0079.JPG,,1,1
924d4e2435eb699c91716c1596f8c636,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0081.JPG,Canis familiaris,1,1
924d4e2435eb699c91716c1596f8c636,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0081.JPG,,1,1
e27c658391c80374d29df456bb956f3a,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0087.JPG,Canis familiaris,2,1
e27c658391c80374d29df456bb956f3a,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0087.JPG,Anas platyrhynchos,1,1
e27c658391c80374d29df456bb956f3a,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0087.JPG,,3,1
2e58ead6f65f078663fd3bf34a00044d,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0089.JPG,,2,1
2e58ead6f65f078663fd3bf34a00044d,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0089.JPG,Anas platyrhynchos,1,1
2e58ead6f65f078663fd3bf34a00044d,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0089.JPG,,1,1
3d615778fcdeee9ac3c44870541b2f41,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0091.JPG,Canis familiaris,1,1
3d615778fcdeee9ac3c44870541b2f41,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0091.JPG,Anas platyrhynchos,1,1
3d615778fcdeee9ac3c44870541b2f41,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0091.JPG,,2,1
ef4efb7ba67edd9c7333920817312aa6,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0093.JPG,,2,1
ef4efb7ba67edd9c7333920817312aa6,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0093.JPG,Anas platyrhynchos,1,1
1cdfffee99fb6bce36bae3236913f486,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0095.JPG,,2,1
1cdfffee99fb6bce36bae3236913f486,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0095.JPG,Anas platyrhynchos,1,1
fe8962a07f9dcaa6f2ae63ec87892643,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0097.JPG,Canis familiaris,1,1
fe8962a07f9dcaa6f2ae63ec87892643,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0097.JPG,,1,1
3b155863338f1cb2aff10195acbbcfcd,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0099.JPG,Canis familiaris,1,1
3b155863338f1cb2aff10195acbbcfcd,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0099.JPG,,2,1
615251831248626e2e4dc665f0e9a8ce,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0101.JPG,Canis familiaris,1,1
615251831248626e2e4dc665f0e9a8ce,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0101.JPG,,2,1
17d615d2cf291ccf4462229e74138239,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0103.JPG,Canis familiaris,1,1
17d615d2cf291ccf4462229e74138239,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0103.JPG,Canis,1,1
17d615d2cf291ccf4462229e74138239,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0103.JPG,,3,1
85d135741fe45da04b0640d2fc3d0439,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0113.JPG,Canis familiaris,1,1
85d135741fe45da04b0640d2fc3d0439,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0113.JPG,Canis,1,1
85d135741fe45da04b0640d2fc3d0439,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0113.JPG,,2,1
4232969ff0e5259ab3a4e4a523b52e98,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0115.JPG,Canis familiaris,1,1
4232969ff0e5259ab3a4e4a523b52e98,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0115.JPG,Canis,1,1
4232969ff0e5259ab3a4e4a523b52e98,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0115.JPG,,2,1
aeaeb559fc3e40e3fcda097c41ffa8d5,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0129.JPG,,3,1
