mediaID,publicURL,scientificName
002fe9a5dc3a1bf6b14298838bae6982,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-05-12_Prologis/DCIM/101SYCAM/SYEW0819.JPG,Branta canadensis
0032759e5c6eb2df7b23b58e9c68f59c,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-06-03_UR011/DCIM/100MEDIA/SYFW3154.JPG,Actitis macularius
00bafc77dcb4d686a46e181ea50d3104,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-03-23_WildMileNorth/DCIM/100MEDIA/SYFW1550.JPG,blank
00bcb26cd24bd4dce3f2f47f848faf63,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-05-12_Prologis/DCIM/100SYCAM/SYEW7278.JPG,Branta canadensis
00f02cfbbb34ec0ba7be807729a1af13,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-06-27_UR011/DCIM/101MEDIA/SYFW0304.JPG,Anas platyrhynchos
00f357f17168f70cf929ad29d98c4610,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0164.JPG,blank
0124ec8efc6d07f54b1e9cb1fdd95aaf,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-06-27_UR011/DCIM/100MEDIA/SYFW9915.JPG,Anas platyrhynchos
01329be67211abc650eba30abe337bdf,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-06-03_UR011/DCIM/100MEDIA/SYFW3211.JPG,Actitis macularius
013e7064a855af802d55b34e5fcd0e94,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-03-23_WildMileNorth/DCIM/100MEDIA/SYFW2074.JPG,Canis familiaris
0159f3a5309670c644ab3e693ff0851b,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-05-12_Prologis/DCIM/101SYCAM/SYEW1663.JPG,Branta canadensis
