,appid,name,review,timestamp_created,voted_up,votes_up,votes_funny,weighted_vote_score
0,730,Counter-Strike: Global Offensive,fire,1752428914,True,1,0,0.523809552192687988
1,730,Counter-Strike: Global Offensive,777,1752428503,True,1,0,0.523809552192687988
2,730,Counter-Strike: Global Offensive,good game. nice to play and many sexy skins,1752427024,True,1,0,0.523809552192687988
3,730,Counter-Strike: Global Offensive,bad game,1752425700,True,1,0,0.523809552192687988
4,730,Counter-Strike: Global Offensive,"F?
",1752421982,True,1,0,0.523809552192687988
5,730,Counter-Strike: Global Offensive,too many cheaters,1752421538,False,2,0,0.53436809778213501
6,730,Counter-Strike: Global Offensive,great game ，extremely excellent skins ，wishing everyone to enjoy this game,1752420561,True,1,0,0.523809552192687988
7,730,Counter-Strike: Global Offensive,its ass but i still play it,1752418246,True,1,0,0.523809552192687988
8,730,Counter-Strike: Global Offensive,abc,1752414704,True,1,0,0.523809552192687988
9,730,Counter-Strike: Global Offensive,"Good game, need more fix, but game really interesting",1752414482,True,1,0,0.523809552192687988
10,730,Counter-Strike: Global Offensive,kleoba,1752414286,True,1,0,0.523809552192687988
11,730,Counter-Strike: Global Offensive,This game gave me a purpose on the online life,1752412901,True,1,0,0.523809552192687988
12,730,Counter-Strike: Global Offensive,really nice walking simulator. 11/10 would recommend.,1752411936,True,1,0,0.523809552192687988
13,730,Counter-Strike: Global Offensive,калл,1752411281,True,1,0,0.523809552192687988
14,730,Counter-Strike: Global Offensive,"The game looks great, the animations are cool, but so many cheaters. It tooks months for some to get banned and they're ruining all the fun, some aren't banned to this day. Very often bullets not registering, but if a guy is running +w most likely he will one tap you. Sad to see, that the shooting aspect was a lot better in CS:GO.",1752411153,False,1,0,0.523809552192687988
15,730,Counter-Strike: Global Offensive,Cheater-Strike 2 ( +rep Valorant Best),1752409530,False,1,0,0.523809552192687988
16,730,Counter-Strike: Global Offensive,very smexy game would smash 10/10,1752409187,True,1,0,0.523809552192687988
17,730,Counter-Strike: Global Offensive,Best game,1752409161,True,1,0,0.523914933204650879
18,730,Counter-Strike: Global Offensive,pretty good game. Now im in the mental hospital. HELP!!!!!!,1752408783,True,1,0,0.523809552192687988
19,730,Counter-Strike: Global Offensive,I a little played this game,1752407161,True,1,0,0.52173912525177002
